formulation,ndcg@5,ndcg@10,mrr,selected
listwise,0.5253372375104677,0.6340939168047258,0.5,False
pairwise,0.4652640634840717,0.5722082879714072,0.3,False
pointwise,0.626679185508016,0.6660324512366258,0.375,True
