comparison,baseline,proposed,metric,n_jobs,mean_delta,ci_95_low,ci_95_high,supports_improvement
main,manual_score_h,selected_ltr,ndcg@5,8,-0.16720357278378684,-0.4061250651398892,0.0690969443981704,False
main,manual_score_h,selected_ltr,ndcg@10,8,-0.11184924884101584,-0.2683209722883888,0.052008220927731406,False
main,manual_score_h,selected_ltr,mrr,8,-0.1425595238095238,-0.440625,0.17291666666666666,False
core_1,ablation_mean_signal_ltr,selected_ltr,ndcg@5,8,0.0,0.0,0.0,False
core_1,ablation_mean_signal_ltr,selected_ltr,ndcg@10,8,0.0,0.0,0.0,False
core_1,ablation_mean_signal_ltr,selected_ltr,mrr,8,0.0,0.0,0.0,False
core_2,ablation_direct_probability,selected_ltr,ndcg@5,8,-0.12839889266537458,-0.395048091752048,0.19388587872447763,False
core_2,ablation_direct_probability,selected_ltr,ndcg@10,8,-0.09046748181140046,-0.2917946106893292,0.13892963414923154,False
core_2,ablation_direct_probability,selected_ltr,mrr,8,-0.20505952380952383,-0.5242559523809524,0.13765625000000004,False
