seed,comparison,level,mean_delta,ci_95_low,ci_95_high,p_value,ci_excludes_zero
42,M1_vs_H,job_within_seed,-0.02845890391226664,-0.11839053007642084,0.05477132570897343,0.71,False
42,M1_vs_B2,job_within_seed,0.0007239700956538342,-0.23915738302915254,0.24259571410873632,0.485,False
42,B2_vs_B1,job_within_seed,-0.04675410326405493,-0.32617930355655506,0.24205470765519527,0.61,False
42,M2_vs_M1,job_within_seed,-0.005329070040005755,-0.021568150777933517,0.00795651707723222,0.75,False
