model,n_seeds,ndcg@5_mean,ndcg@5_std,ndcg@10_mean,ndcg@10_std,map@5_mean,map@5_std,map@10_mean,map@10_std
H,1,0.7374166752799723,0.0,0.8307440787522817,0.0,0.4889517195767195,0.0,0.6835367063492063,0.0
B1,1,0.7556598271226105,0.0,0.8392321895674529,0.0,0.5353637566137566,0.0,0.7064699074074073,0.0
B2,1,0.7138021256191469,0.0,0.8034582886556092,0.0,0.46219246031746036,0.0,0.6615972222222223,0.0
M1,1,0.7085982661612084,0.0,0.8111016846610277,0.0,0.4938128306878307,0.0,0.6895138888888889,0.0
M2,1,0.7031990989109413,0.0,0.8057025174107605,0.0,0.49797949735449737,0.0,0.6936805555555555,0.0
