model,seed,ndcg@5,map@5,ndcg@10,map@10,training_time,lr,batch_size,lambda_gap,best_epoch,best_val_loss,monitor_source,train_margin_used,n_train_pairs,val_margin_used,n_monitor_pairs,stopped_early,reached_max_epochs,gap_vocab_size,gap_target_prevalence,selected_checkpoint_gap_loss,last_epoch_train_gap_loss
H,42,0.7374166752799723,0.4889517195767195,0.8307440787522817,0.6835367063492063,0.005095481872558594,,,,0,,,,,,,,,,,,
B1,42,0.7556598271226105,0.5353637566137566,0.8392321895674529,0.7064699074074073,0.010910987854003906,,,,0,,,,,,,,,,,,
B2,42,0.7138021256191469,0.46219246031746036,0.8034582886556092,0.6615972222222223,0.09242439270019531,,,,0,,,,,,,,,,,,
M1,42,0.7085982661612084,0.4938128306878307,0.8111016846610277,0.6895138888888889,6.037541389465332,0.001,32.0,0.0,20,0.04056946560740471,val,0.02,7262.0,0.02,1350.0,False,True,,,,
M2,42,0.7031990989109413,0.49797949735449737,0.8057025174107605,0.6936805555555555,49.92756938934326,0.001,32.0,0.2,20,0.044220924377441406,val,0.02,7262.0,0.02,1350.0,False,True,256.0,0.03949032723903656,0.13762345910072327,0.13762345910072327
