comparison,metric,level,mean_delta,ci_95_low,ci_95_high,n_seeds,ci_excludes_zero,interpretation,deltas_by_seed
B1_vs_H,ndcg@5,seed,0.01824315184263814,0.01824315184263814,0.01824315184263814,1,True,CI excludes 0,"{""42"": 0.01824315184263814}"
B2_vs_B1,ndcg@5,seed,-0.041857701503463574,-0.041857701503463574,-0.041857701503463574,1,True,CI excludes 0,"{""42"": -0.041857701503463574}"
M1_vs_H,ndcg@5,seed,-0.028818409118763988,-0.028818409118763988,-0.028818409118763988,1,True,CI excludes 0,"{""42"": -0.028818409118763988}"
M1_vs_B2,ndcg@5,seed,-0.005203859457938553,-0.005203859457938553,-0.005203859457938553,1,True,CI excludes 0,"{""42"": -0.005203859457938553}"
M2_vs_M1,ndcg@5,seed,-0.005399167250267012,-0.005399167250267012,-0.005399167250267012,1,True,CI excludes 0,"{""42"": -0.005399167250267012}"
