seed,model,job_id,ndcg@5,map@5,ndcg@10,map@10
11,H,JOB_01,1.0,0.0,1.0,0.0
11,H,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
11,H,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
11,H,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
11,H,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
11,H,JOB_23,0.9084880857554961,1.0,0.9455109115315712,1.0
11,H,JOB_29,1.0,1.0,1.0,1.0
11,H,JOB_51,1.0,1.0,1.0,1.0
11,H,JOB_52,0.5680531818719479,0.2,0.6461412856608912,0.2
11,H,JOB_60,0.8145672023038535,0.5833333333333333,0.8145672023038535,0.5833333333333333
11,H,JOB_71,0.6511450647445489,0.2,0.7374083548619565,0.2
11,H,JOB_74,1.0,0.0,1.0,0.0
11,B1,JOB_01,1.0,0.0,1.0,0.0
11,B1,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
11,B1,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
11,B1,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
11,B1,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
11,B1,JOB_23,0.9084880857554961,1.0,0.9455109115315712,1.0
11,B1,JOB_29,1.0,1.0,1.0,1.0
11,B1,JOB_51,1.0,1.0,1.0,1.0
11,B1,JOB_52,0.5680531818719479,0.2,0.6461412856608912,0.2
11,B1,JOB_60,0.8145672023038535,0.5833333333333333,0.8145672023038535,0.5833333333333333
11,B1,JOB_71,0.6511450647445489,0.2,0.7374083548619565,0.2
11,B1,JOB_74,1.0,0.0,1.0,0.0
11,B2,JOB_01,1.0,0.0,1.0,0.0
11,B2,JOB_02,0.6348734152918568,0.3666666666666667,0.6348734152918568,0.3666666666666667
11,B2,JOB_14,0.6992148198508501,0.0,0.9330795243082165,0.0
11,B2,JOB_20,0.9832184408687481,1.0,0.9832184408687481,1.0
11,B2,JOB_21,0.7136205775898136,0.6666666666666666,0.8164439423782777,0.8333333333333334
11,B2,JOB_23,0.938506417451168,1.0,0.9755292432272432,1.0
11,B2,JOB_29,1.0,1.0,1.0,1.0
11,B2,JOB_51,0.8404207565708445,1.0,0.8783099902424529,1.0
11,B2,JOB_52,0.5832503376961229,0.2,0.6613384414850663,0.2
11,B2,JOB_60,0.9514426589871553,0.8333333333333333,0.9514426589871553,0.8333333333333333
11,B2,JOB_71,0.9129675424759451,1.0,0.9816495102377716,1.0
11,B2,JOB_74,1.0,0.0,1.0,0.0
11,M1,JOB_01,1.0,0.0,1.0,0.0
11,M1,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
11,M1,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
11,M1,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
11,M1,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
11,M1,JOB_23,0.9224037382324788,1.0,0.9594265640085539,1.0
11,M1,JOB_29,1.0,1.0,1.0,1.0
11,M1,JOB_51,0.9364759149279142,1.0,0.9515585713646199,1.0
11,M1,JOB_52,0.5941588205679689,0.5,0.6722469243569122,0.5
11,M1,JOB_60,0.9514426589871553,0.8333333333333333,0.9514426589871553,0.8333333333333333
11,M1,JOB_71,0.6704166459920575,0.3333333333333333,0.7553858536259825,0.3333333333333333
11,M1,JOB_74,1.0,0.0,1.0,0.0
11,M2,JOB_01,1.0,0.0,1.0,0.0
11,M2,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
11,M2,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
11,M2,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
11,M2,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
11,M2,JOB_23,0.9224037382324788,1.0,0.9594265640085539,1.0
11,M2,JOB_29,1.0,1.0,1.0,1.0
11,M2,JOB_51,0.9478815954653227,1.0,0.9602561773067417,1.0
11,M2,JOB_52,0.5941588205679689,0.5,0.6722469243569122,0.5
11,M2,JOB_60,0.9514426589871553,0.8333333333333333,0.9514426589871553,0.8333333333333333
11,M2,JOB_71,0.6704166459920575,0.3333333333333333,0.7553858536259825,0.3333333333333333
11,M2,JOB_74,1.0,0.0,1.0,0.0
23,H,JOB_01,1.0,0.0,1.0,0.0
23,H,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
23,H,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
23,H,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
23,H,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
23,H,JOB_23,0.9084880857554961,1.0,0.9455109115315712,1.0
23,H,JOB_29,1.0,1.0,1.0,1.0
23,H,JOB_51,1.0,1.0,1.0,1.0
23,H,JOB_52,0.5680531818719479,0.2,0.6461412856608912,0.2
23,H,JOB_60,0.8145672023038535,0.5833333333333333,0.8145672023038535,0.5833333333333333
23,H,JOB_71,0.6511450647445489,0.2,0.7374083548619565,0.2
23,H,JOB_74,1.0,0.0,1.0,0.0
23,B1,JOB_01,1.0,0.0,1.0,0.0
23,B1,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
23,B1,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
23,B1,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
23,B1,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
23,B1,JOB_23,0.9084880857554961,1.0,0.9455109115315712,1.0
23,B1,JOB_29,1.0,1.0,1.0,1.0
23,B1,JOB_51,1.0,1.0,1.0,1.0
23,B1,JOB_52,0.5680531818719479,0.2,0.6461412856608912,0.2
23,B1,JOB_60,0.8145672023038535,0.5833333333333333,0.8145672023038535,0.5833333333333333
23,B1,JOB_71,0.6511450647445489,0.2,0.7374083548619565,0.2
23,B1,JOB_74,1.0,0.0,1.0,0.0
23,B2,JOB_01,1.0,0.0,1.0,0.0
23,B2,JOB_02,0.6348734152918568,0.3666666666666667,0.6348734152918568,0.3666666666666667
23,B2,JOB_14,0.6992148198508501,0.0,0.9330795243082165,0.0
23,B2,JOB_20,0.9832184408687481,1.0,0.9832184408687481,1.0
23,B2,JOB_21,0.7136205775898136,0.6666666666666666,0.8164439423782777,0.8333333333333334
23,B2,JOB_23,0.938506417451168,1.0,0.9755292432272432,1.0
23,B2,JOB_29,1.0,1.0,1.0,1.0
23,B2,JOB_51,0.8404207565708445,1.0,0.8783099902424529,1.0
23,B2,JOB_52,0.5680531818719479,0.2,0.6461412856608912,0.2
23,B2,JOB_60,0.9514426589871553,0.8333333333333333,0.9514426589871553,0.8333333333333333
23,B2,JOB_71,0.9129675424759451,1.0,0.9816495102377716,1.0
23,B2,JOB_74,1.0,0.0,1.0,0.0
23,M1,JOB_01,1.0,0.0,1.0,0.0
23,M1,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
23,M1,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
23,M1,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
23,M1,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
23,M1,JOB_23,0.9224037382324788,1.0,0.9594265640085539,1.0
23,M1,JOB_29,1.0,1.0,1.0,1.0
23,M1,JOB_51,0.9364759149279142,1.0,0.9515585713646199,1.0
23,M1,JOB_52,0.8903894887369824,1.0,0.9684775925259257,1.0
23,M1,JOB_60,0.9514426589871553,0.8333333333333333,0.9514426589871553,0.8333333333333333
23,M1,JOB_71,0.6423984527479734,0.25,0.7292490759559674,0.25
23,M1,JOB_74,1.0,0.0,1.0,0.0
23,M2,JOB_01,1.0,0.0,1.0,0.0
23,M2,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
23,M2,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
23,M2,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
23,M2,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
23,M2,JOB_23,0.9224037382324788,1.0,0.9594265640085539,1.0
23,M2,JOB_29,1.0,1.0,1.0,1.0
23,M2,JOB_51,0.9364759149279142,1.0,0.9515585713646199,1.0
23,M2,JOB_52,0.7285735751249806,0.5,0.806661678913924,0.5
