seed,model,perturbation,job_id,qual_sens,n_pairs
67,M2,skill,JOB_29,0.0,14
67,M2,skill,JOB_51,0.0,10
67,M2,skill,JOB_52,0.0,6
67,M2,skill,JOB_60,0.25,4
67,M2,skill,JOB_71,0.0,7
67,M2,skill,JOB_74,0.0,5
67,M2,exp,JOB_01,1.0,15
67,M2,exp,JOB_02,1.0,10
67,M2,exp,JOB_14,1.0,7
67,M2,exp,JOB_20,1.0,6
67,M2,exp,JOB_21,1.0,7
67,M2,exp,JOB_23,1.0,9
67,M2,exp,JOB_29,1.0,14
67,M2,exp,JOB_51,1.0,10
67,M2,exp,JOB_52,1.0,6
67,M2,exp,JOB_60,1.0,4
67,M2,exp,JOB_71,1.0,7
67,M2,exp,JOB_74,1.0,5
67,M2,domain,JOB_01,0.13333333333333333,15
67,M2,domain,JOB_02,1.0,10
67,M2,domain,JOB_14,0.8571428571428571,7
67,M2,domain,JOB_20,0.6666666666666666,6
67,M2,domain,JOB_21,0.7142857142857143,7
67,M2,domain,JOB_23,1.0,9
67,M2,domain,JOB_29,0.35714285714285715,14
67,M2,domain,JOB_51,1.0,10
67,M2,domain,JOB_52,0.6666666666666666,6
67,M2,domain,JOB_60,1.0,4
67,M2,domain,JOB_71,0.14285714285714285,7
67,M2,domain,JOB_74,1.0,5
89,M1,skill,JOB_01,0.0,15
89,M1,skill,JOB_02,0.0,10
89,M1,skill,JOB_14,0.0,7
89,M1,skill,JOB_20,0.0,6
89,M1,skill,JOB_21,0.0,7
89,M1,skill,JOB_23,0.0,9
89,M1,skill,JOB_29,0.0,14
89,M1,skill,JOB_51,0.0,10
89,M1,skill,JOB_52,0.0,6
89,M1,skill,JOB_60,0.25,4
89,M1,skill,JOB_71,0.0,7
89,M1,skill,JOB_74,0.0,5
89,M1,exp,JOB_01,0.8666666666666667,15
89,M1,exp,JOB_02,1.0,10
89,M1,exp,JOB_14,1.0,7
89,M1,exp,JOB_20,1.0,6
89,M1,exp,JOB_21,1.0,7
89,M1,exp,JOB_23,1.0,9
89,M1,exp,JOB_29,1.0,14
89,M1,exp,JOB_51,1.0,10
89,M1,exp,JOB_52,0.6666666666666666,6
89,M1,exp,JOB_60,1.0,4
89,M1,exp,JOB_71,0.7142857142857143,7
89,M1,exp,JOB_74,1.0,5
89,M1,domain,JOB_01,0.13333333333333333,15
89,M1,domain,JOB_02,1.0,10
89,M1,domain,JOB_14,0.8571428571428571,7
89,M1,domain,JOB_20,0.6666666666666666,6
89,M1,domain,JOB_21,0.7142857142857143,7
89,M1,domain,JOB_23,1.0,9
89,M1,domain,JOB_29,0.35714285714285715,14
89,M1,domain,JOB_51,1.0,10
89,M1,domain,JOB_52,0.6666666666666666,6
89,M1,domain,JOB_60,0.75,4
89,M1,domain,JOB_71,0.14285714285714285,7
89,M1,domain,JOB_74,1.0,5
89,M2,skill,JOB_01,0.0,15
89,M2,skill,JOB_02,0.0,10
89,M2,skill,JOB_14,0.0,7
89,M2,skill,JOB_20,0.0,6
89,M2,skill,JOB_21,0.0,7
89,M2,skill,JOB_23,0.0,9
89,M2,skill,JOB_29,0.0,14
89,M2,skill,JOB_51,0.0,10
89,M2,skill,JOB_52,0.0,6
89,M2,skill,JOB_60,0.25,4
89,M2,skill,JOB_71,0.0,7
89,M2,skill,JOB_74,0.0,5
89,M2,exp,JOB_01,0.8666666666666667,15
89,M2,exp,JOB_02,1.0,10
89,M2,exp,JOB_14,1.0,7
89,M2,exp,JOB_20,1.0,6
89,M2,exp,JOB_21,1.0,7
89,M2,exp,JOB_23,1.0,9
89,M2,exp,JOB_29,1.0,14
89,M2,exp,JOB_51,1.0,10
89,M2,exp,JOB_52,0.6666666666666666,6
89,M2,exp,JOB_60,1.0,4
89,M2,exp,JOB_71,0.7142857142857143,7
89,M2,exp,JOB_74,1.0,5
89,M2,domain,JOB_01,0.13333333333333333,15
89,M2,domain,JOB_02,1.0,10
89,M2,domain,JOB_14,0.8571428571428571,7
89,M2,domain,JOB_20,0.6666666666666666,6
89,M2,domain,JOB_21,0.7142857142857143,7
89,M2,domain,JOB_23,1.0,9
89,M2,domain,JOB_29,0.35714285714285715,14
89,M2,domain,JOB_51,1.0,10
89,M2,domain,JOB_52,0.6666666666666666,6
89,M2,domain,JOB_60,1.0,4
89,M2,domain,JOB_71,0.14285714285714285,7
89,M2,domain,JOB_74,1.0,5
