model,seed,ndcg@5,map@5,ndcg@10,map@10,training_time,best_epoch
H,42,0.7975564676961993,0.6206249999999999,0.8323898106520885,0.7282638888888888,0.02073359489440918,
B1,42,0.802931447548394,0.6261805555555555,0.8418801179675287,0.7392757936507937,0.03333091735839844,
B2,42,0.7975564676961993,0.6206249999999999,0.8323898106520885,0.7282638888888888,0.01947760581970215,
M1,42,0.7975564676961993,0.6206249999999999,0.8323898106520885,0.7282638888888888,0.0,8.0
M2,42,0.7975564676961993,0.6206249999999999,0.8323898106520885,0.7282638888888888,0.0,11.0
