threshold,precision,recall,coverage,n_covered,eligible
0.3,0.0,0.0,1.0,29,True
0.35,0.0,0.0,1.0,29,True
0.4,0.0,0.0,1.0,29,True
0.45,0.0,0.0,1.0,29,True
0.5,0.0,0.0,1.0,29,True
0.55,0.0,0.0,1.0,29,True
0.6,0.0,0.0,1.0,29,True
0.65,0.0,0.0,1.0,29,True
0.7,0.0,0.0,1.0,29,True
