seed,n,y_prob_mean,y_prob_std,high_confidence_positive,high_confidence_negative,ambiguous,p_prior,prior_at_boundary,parameter_boundary_rate
11,11200,0.038520086799980015,0.09221451602690971,22,10710,114,0.05,True,0.6
23,11200,0.038520086799980015,0.09221451602690971,22,10710,114,0.05,True,0.6
42,11200,0.038520086799980015,0.09221451602690971,22,10710,114,0.05,True,0.6
67,11200,0.038520086799980015,0.09221451602690971,22,10710,114,0.05,True,0.6
89,11200,0.038520086799980015,0.09221451602690971,22,10710,114,0.05,True,0.6
