seed,lf_name,n,coverage_rate,positive_rate,negative_rate,abstain_rate
11,lf_skill,11200,1.0,0.03491071428571429,0.9650892857142858,0.0
11,lf_sem,11200,0.5,0.25,0.25,0.5
11,lf_exp,11200,0.8133035714285715,0.4473214285714286,0.36598214285714287,0.18669642857142857
11,lf_role,11200,0.7642857142857142,0.25044642857142857,0.5138392857142857,0.2357142857142857
11,lf_loc,11200,0.9642857142857143,0.196875,0.7674107142857143,0.03571428571428571
23,lf_skill,11200,1.0,0.03491071428571429,0.9650892857142858,0.0
23,lf_sem,11200,0.5,0.25,0.25,0.5
23,lf_exp,11200,0.8133035714285715,0.4473214285714286,0.36598214285714287,0.18669642857142857
23,lf_role,11200,0.7642857142857142,0.25044642857142857,0.5138392857142857,0.2357142857142857
23,lf_loc,11200,0.9642857142857143,0.196875,0.7674107142857143,0.03571428571428571
42,lf_skill,11200,1.0,0.03491071428571429,0.9650892857142858,0.0
42,lf_sem,11200,0.5,0.25,0.25,0.5
42,lf_exp,11200,0.8133035714285715,0.4473214285714286,0.36598214285714287,0.18669642857142857
42,lf_role,11200,0.7642857142857142,0.25044642857142857,0.5138392857142857,0.2357142857142857
42,lf_loc,11200,0.9642857142857143,0.196875,0.7674107142857143,0.03571428571428571
67,lf_skill,11200,1.0,0.03491071428571429,0.9650892857142858,0.0
67,lf_sem,11200,0.5,0.25,0.25,0.5
67,lf_exp,11200,0.8133035714285715,0.4473214285714286,0.36598214285714287,0.18669642857142857
67,lf_role,11200,0.7642857142857142,0.25044642857142857,0.5138392857142857,0.2357142857142857
67,lf_loc,11200,0.9642857142857143,0.196875,0.7674107142857143,0.03571428571428571
89,lf_skill,11200,1.0,0.03491071428571429,0.9650892857142858,0.0
89,lf_sem,11200,0.5,0.25,0.25,0.5
89,lf_exp,11200,0.8133035714285715,0.4473214285714286,0.36598214285714287,0.18669642857142857
89,lf_role,11200,0.7642857142857142,0.25044642857142857,0.5138392857142857,0.2357142857142857
89,lf_loc,11200,0.9642857142857143,0.196875,0.7674107142857143,0.03571428571428571
