model,perturbation,qual_sens,mean_delta,ci_95_low,ci_95_high,n_jobs
M1,domain,0.6860714285714286,0.02067460317460317,0.009364087301587306,0.032857142857142856,12
M1,exp,0.9523809523809524,0.0019312169312169132,-0.01896891534391538,0.0258730158730159,12
M1,skill,0.020833333333333332,0.0,0.0,0.0,12
M2,domain,0.7067460317460318,0.02067460317460317,0.009364087301587306,0.032857142857142856,12
M2,exp,0.9543121693121693,0.0019312169312169132,-0.01896891534391538,0.0258730158730159,12
M2,skill,0.020833333333333332,0.0,0.0,0.0,12
