model,ndcg@5,map@5,ndcg@10,map@10
B1,0.834199386242183,0.45462962962962966,0.8689703017612466,0.4685185185185185
B2,0.8542863420377361,0.5888888888888889,0.9008171920580933,0.6027777777777777
H,0.834199386242183,0.45462962962962966,0.8689703017612466,0.4685185185185185
M1,0.8394652521578018,0.4910185185185185,0.8759105755365818,0.5049074074074074
